"hospital_name","district","nearest_nh","distance_meters"
"Kshetrapal Nursing Home And Dental Hospital","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","674.82"
"Laser Urology Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","42.04"
"Loda Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","60.30"
"Lohani Maternity and Nursing Home","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","756.50"
"M B S Hospital","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","689.11"
"M.J Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","2481.19"
"Maitri Hospital, Kota","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","75.98"
"Malav Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","3313.62"
"Malik Eye Care","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1414.43"
"Manav Seva Samiti Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","58.32"
"Manju Orthopaedic Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1575.89"
"Mantri Clinic","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","1300.94"
"Maruthi Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","2295.12"
"Meghavi Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1352.43"
"Mehrish Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","798.64"
"Mehta Nursing Home, Kota","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","543.57"
"Military Hospital","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","67.04"
"Mittal Nursing Home, Kota","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","616.84"
"MSM Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","2956.72"
"Nandwana Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","2084.75"
"Nandwana Hospital & Research Centre","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","2131.52"
"Navya Clinic","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","512.86"
"NR Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","2069.33"
"Om Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","95.67"
"Palak Clinic","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","34.27"
"Parihar Chest Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","2049.90"
"Parivar Seva Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","46.94"
"Pmc American Hopital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","901.33"
"Pratap Clinic","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","177.39"
"Rainbow Children Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","3420.98"
"Raj Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1739.35"
"Rajdeep Fertility Research Centre and Nursing Home","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","20.68"
"Rajdeep Nursing Home","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","149.91"
"Rajesh Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","58.76"
"Rama Krishna Multispeciality Hospital and Research Centre","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","198.02"
"Rampura District Hospital, Kota","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","968.48"
"Ratna Nursing Home","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","75.62"
"Relief Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1013.31"
"S K M Hospital","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","24.36"
"S K Ramchandani Orthopaedic Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","344.95"
"S N Pareek Memorial Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1811.24"
"Sadguru Eye & Dental Hospital","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","539.72"
"Samarth Nursing Home and Research Centre","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1719.60"
"Sanjay Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1961.65"
"Sanjivni Hospital","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","23.57"
"Sara Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","643.30"
"Saroya Eye Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","696.64"
"Sarthi Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","3292.22"
"Sarvodya Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1617.19"
"Sharda Children Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1499.73"
"Shree Shiv Shakti Clinic","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","788.02"
"Shri Ji Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","37.49"
"Shri Ram Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","901.37"
"Shri Ram Dharmarth Hospital","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","3937.61"
"Siddhi Vinayak Hospital","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","200.64"
"Singh Orthopedic Hospital and Research Centre","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","2060.18"
"Singhavi Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","252.48"
"Siya Ram Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1014.27"
"Skin Health","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1623.62"
"Soni Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","971.43"
"Sudha Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","38.99"
"Sukh poly Clinic","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","278.19"
"Sukhdham Hospital","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","89.03"
"Sulodiya Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","2844.42"
"Sunrise Physiotherapy Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","856.32"
"Sushrut Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","2751.76"
"Suvi Eye Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1284.83"
"T.K.Singh Nursing Home and Research Centre","Kota","Pindwara, Udaipur, Mangarwar, Chittaurgarh, Kota, BaranGanj","830.02"
"Thakar Maternity Home","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","2973.20"
"Twacha Skin Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","634.67"
"Utkarsh Homoeopathic Clinic & Research Centre","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","1363.99"
"V Care Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","3876.66"
"Vabhav Choudhary","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","664.37"
"Varshney Children Hospital","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","3278.49"
"Vrinda Homoeo Clinic","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","287.42"
"Yadav Hospital, Kota","Kota","Hisar, Fatehpur, Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3)","2544.52"
"Akash Hospital","Nagaur","Fathepura Nagaur Pali","3.91"
"Army Hospital","Nagaur","Ajmer   Nagour  Bikaner","458.08"
"ASG Eye Hospital","Nagaur","Ajmer   Nagour  Bikaner","84.92"
"Avnish Hospital","Nagaur","Nimbi Jodha to Bhim Via Bantri Khatu degana Merta","1911.46"
"Bhaskar Hospital and Research Center Pvt Ltd","Nagaur","Ajmer   Nagour  Bikaner","60.17"
"Bhutra Health Care Centre","Nagaur","Ajmer   Nagour  Bikaner","139.83"
"Bisu Hospital","Nagaur","Ajmer   Nagour  Bikaner","127.29"
"Care Hospital","Nagaur","AJMER MERTA NAGAUR BIKANER","2473.68"
"Dental Hospital","Nagaur","Fatehpur   Ladnu  Nagour  Jodhpur","348.70"
"Divya Sai Hospital","Nagaur","Fatehpur   Ladnu  Nagour  Jodhpur","295.23"
"Dr. Anita Beniwal","Nagaur","Ajmer   Nagour  Bikaner","1167.31"
"Dr. Arya Homepathic Clinic","Nagaur","Fathepura Nagaur Pali","164.69"
"Dr. Fogatiya","Nagaur","Fathepura Nagaur Pali","773.57"
"Dr. J K Charan Hospital","Nagaur","Fatehpur   Ladnu  Nagour  Jodhpur","123.67"
"Dr. Kailash Khoja","Nagaur","Ajmer   Nagour  Bikaner","34.69"
"Dr. Mohan Ram Jakhar Hospital","Nagaur","AJMER MERTA NAGAUR BIKANER","2316.82"
"Dr. Pradeep Chaudhary","Nagaur","Ajmer   Nagour  Bikaner","652.13"
"Dr. R.K. Suthar","Nagaur","Ajmer   Nagour  Bikaner","21.57"
"Drishti Eye Hospital","Nagaur","Ajmer   Nagour  Bikaner","43.18"
"Gawardi Government Hospital","Nagaur","Ajmer Nagaur Bikaner","81.90"
"General Hospital Ladnun","Nagaur","Fathepura Nagaur Pali","27.33"
"Government Hospital Ratau","Nagaur","Beawar-Degana--Khatu-Banthari-Nimbi Jodha","165.58"
"Government Hospital Taausar","Nagaur","Fatehpur   Ladnu  Nagour  Jodhpur","2234.95"
"Government Hospital, Alai","Nagaur","Ajmer   Nagour  Bikaner","48.03"
"Government Hospital, Badikhatu","Nagaur","Beawar to Nimbi Jodha  via , Degana,   Khatu, Banthari","2377.39"
"Government Hospital, Jaswanthgarh","Nagaur","Fathepura Nagaur Pali","31.41"
"Government Hospital, Kathoti","Nagaur","Beawar-Degana--Khatu-Banthari-Nimbi Jodha","4719.70"
"Government Hospital, Mundwa","Nagaur","Ajmer  Bikaner","63.23"
"Government Hospital, Nimbijodha","Nagaur","Beawar-Degana--Khatu-Banthari-Nimbi Jodha","392.04"
"Government Hospital, Padukalaan","Nagaur","Ajmer Nagaur Bikaner","72.24"
"Governmet Hospital Shiv","Nagaur","Jaisalmer  Barmer Sanchore Road","372.44"
"Governmet Hospital Shribalaji","Nagaur","Ajmer   Nagour  Bikaner","508.26"
"Harshit Hospital","Nagaur","Ajmer   Nagour  Bikaner","27.92"
"Jain Hospital","Nagaur","Fathepura Nagaur Pali","199.63"
"JLN Government Hospital Nagaur","Nagaur","Ajmer   Nagour  Bikaner","166.27"
"Kala Nursing Home","Nagaur","Ajmer   Nagour  Bikaner","71.71"
"Karni Hospital","Nagaur","Fathepura Nagaur Pali","493.33"
"Life Line Hospital","Nagaur","Ajmer   Nagour  Bikaner","131.65"
"M.N. Ghorawat Hospital","Nagaur","Fathepura Nagaur Pali","378.13"
"M.N.Ghorawat Hospital and Research Centre","Nagaur","Fathepura Nagaur Pali","34.52"
"Mahadev Hospital","Nagaur","Ajmer   Nagour  Bikaner","178.77"
"Marudhar Hospital","Nagaur","Ajmer   Nagour  Bikaner","26.28"
"Marwar Child Care Centre","Nagaur","Ajmer   Nagour  Bikaner","51.50"
"Nandrani Clinic","Nagaur","Nimbi Jodha to Bhim Via Bantri Khatu degana Merta","1836.38"
"Naveen Clinic","Nagaur","Fatehpur   Ladnu  Nagour  Jodhpur","286.28"
"Pagaria Eye & E.N.T Care Centre","Nagaur","Fathepura Nagaur Pali","648.11"
"Pujari Hospital","Nagaur","AJMER MERTA NAGAUR BIKANER","2367.23"
"Punia Hospital","Nagaur","Fathepura Nagaur Pali","68.15"
"Raj Hospital, Nagaur","Nagaur","Fathepura Nagaur Pali","9.45"
"Rajat Hospital","Nagaur","AJMER MERTA NAGAUR BIKANER","3039.98"
"Ram Hospital","Nagaur","AJMER MERTA NAGAUR BIKANER","1651.84"
"Rathore Clinic","Nagaur","Ajmer   Nagour  Bikaner","392.70"
"Royal Homeopathic Clinic","Nagaur","Fathepura Nagaur Pali","29.19"
"Seth Ganpat Ray Saraogi Eye Hospital","Nagaur","Fathepura Nagaur Pali","294.52"
"Shivam Hospital and Pathri Nivaran Kendra","Nagaur","Ajmer   Nagour  Bikaner","25.98"
"Shree Krishna Hospital & Research Centre","Nagaur","AJMER MERTA NAGAUR BIKANER","1686.01"
"Shree Ram Hospital","Nagaur","Ajmer   Nagour  Bikaner","467.37"
"Shri Asharam Memorial Navjeevan Hospital","Nagaur","Ajmer   Nagour  Bikaner","130.08"
"Shri Hari Ram Hospital & Research Centre","Nagaur","Ajmer   Nagour  Bikaner","127.40"
"Shri Vinayak Eye Hospital","Nagaur","AJMER MERTA NAGAUR BIKANER","3010.33"
"Shriram Mangalam Hospital","Nagaur","Fathepura Nagaur Pali","968.42"
"SMG Multispeciality Clinic","Nagaur","Nimbi Jodha to Bhim Via Bantri Khatu degana Merta","1756.14"
"T.B. Hospital","Nagaur","Ajmer   Nagour  Bikaner","42.30"
"Urban Primary Health Care Centre Nagaur","Nagaur","Ajmer   Nagour  Bikaner","1372.16"
"Vinayak Roop Hospital and Research Centre","Nagaur","AJMER MERTA NAGAUR BIKANER","3422.13"
"Yash Clinic","Nagaur","Ajmer   Nagour  Bikaner","1247.12"
"Arbuda Dental Clinic","Pali","Beawar Pali Radhanpur","19.69"
"Ayurvedic Hospital","Pali","Pali-Bar","532.75"
"B. Lal Hospital & Trauma Centre","Pali","Beawar Pali Radhanpur Road","32.79"
"Bedwal Hospital","Pali","Bissau Mandrella Pilani Loharu road","1322.22"
"Bhagwan Mahavir Hospital","Pali","Beawar Pali Radhanpur","4096.91"
"District Hospital, Pali","Pali","Pali-Bar","728.05"
"Dr. A.K. Mathur","Pali","Pali-Bar","283.86"
"Dr. Ankit Awasthi","Pali","Pali-Bar","581.21"
"Dr. Dabhi ENT Hospital","Pali","Beawar Pali Radhanpur","1042.52"
"Dr. Hazarimal Choudhary","Pali","Pali-Bar","201.40"
"Dr. Jitendra Singh Panwar","Pali","Beawar Pali Radhanpur","471.10"
"Dr. Kanaram Clinic","Pali","Beawar Pali Radhanpur Road","707.73"
"Dr. Mohanlal Choudhary Hospital","Pali","Beawar Pali Radhanpur Road","1017.81"
"Dr. N.K. Gehlot Hospital","Pali","Beawar Pali Radhanpur","311.85"
"Dr. OP Mewaras Hospital","Pali","Beawar Pali Radhanpur","424.40"
"Dr. PR Menghani Skin Clinic","Pali","Pali-Bar","68.74"
"Dr. Prakash","Pali","Abhor Jodhpur Pali sirohi Pindwara","3035.09"
"Dr. Pratibha Garg Nursing Home","Pali","Pali-Bar","442.42"
"Dr. Rafiq Qureshi","Pali","Pali-Bar","1767.35"
"Dr. S K Saxena's Clinic","Pali","Beawar Pali Radhanpur","18.28"
"Dr. Sohan Kumawat","Pali","Beawar Pali Radhanpur","573.03"
"Dr. Suresh Bhandari","Pali","Beawar Pali Radhanpur","329.57"
"Dr. Virendraraj Bhandari","Pali","Beawar Pali Radhanpur","320.78"
"Dr.Anita Rajpurohit Hospital","Pali","Beawar Pali Radhanpur","971.39"
"E.S.I Hospital","Pali","Pindwara-Pali-Jodhpur","1995.19"
"Eye Hospital Pani Darwaja","Pali","Pali-Bar","628.25"
"Gemawat Health Care Clinic","Pali","Beawar Pali Radhanpur","899.17"
"Government Bangar Hospital","Pali","Pali-Bar","568.40"
"Government Bangur Hopital Pali","Pali","Pali-Bar","106.53"
"Government Hospital Housing Board Colony Pali","Pali","Pali-Bar","26.01"
"Government Hospital Peepaliya","Pali","Beawar-Bar-Pali-Sirohi up to Gujrat Bordar","408.88"
"Government Hospital Ras","Pali","Merta Lambiya Ras Beawar road","208.21"
"Government Hospital Sanderao","Pali","Beawar Pali Radhanpur","1500.58"
"Government Hospital Takhatgarh","Pali","Balotra Bishangarh Jalore Sanderao","2272.03"
"Government Hospital, Bar","Pali","Bar Bilara Pokeran Road","48.92"
"Government Hospital, Dhinawas","Pali","Beawar Pali Radhanpur Road","3023.66"
"Government Hospital, Jaitaran","Pali","Bar Bilara Pokaran  Road","46.46"
"Goyal Eye Hospital and Research Centre","Pali","Pali-Bar","972.69"
"Goyal Hospital","Pali","Beawar Pali Radhanpur Road","244.66"
"Goyal Multispeciality Dental Hospital","Pali","Abhor Jodhpur Pali sirohi Pindwara","130.99"
"Guru Kripa Suraj Clinic","Pali","Bar Bilara Pokaran  Road","18.80"
"J.K. Hospital","Pali","Beawar Pali Radhanpur","414.16"
"Jai Shree Hospital","Pali","Bar Bilara Pokaran  Road","24.72"
"Jaslok Clinic","Pali","Abhor Jodhpur Pali sirohi Pindwara","161.89"
"Jodhpur Dental Hospital and Implant Centre","Pali","Pali-Bar","659.72"
"Kavedia Hospital","Pali","Beawar Pali Radhanpur Road","912.93"
"Khan Clinic","Pali","Pali-Bar","428.84"
"Lions Club Homoepathic Hospital","Pali","Pali-Bar","1298.71"
"Lodha Hospital and Research Centre","Pali","Pali-Bar","120.87"
"Mahadev Orthopaedic Hospital","Pali","Beawar Pali Radhanpur","729.96"
"Mukta Mishri Jain Hospital","Pali","Bar Bilara Pokaran  Road","104.81"
"Nandini Hospital","Pali","Pali-Bar","526.91"
"Neocare Physiotherapy Hospital","Pali","Pali-Bar","327.19"
"New Mahaveer Hospital","Pali","Beawar Pali Radhanpur","498.38"
"Om Hospital","Pali","Pali-Bar","579.30"
"Panwar Hospital","Pali","Pali-Bar","1324.47"
"Patanjali Clinic","Pali","Beawar Pali Radhanpur Road","778.33"
"Rajasthan Eye Hospital","Pali","Beawar Pali Radhanpur","1307.36"
"Rohat Dental & General Hospital","Pali","Fatehpur Jodhpur Pali Road","435.57"
"Rose Hospital","Pali","Pali-Bar","154.34"
"Sankhla Clinic","Pali","Bar Bilara Pokaran  Road","261.90"
"Saptgirishwar Heart and Medical Hospital","Pali","Beawar Pali Radhanpur","1119.48"
"Seth Ratanchand Kanhaiya Lal Roka Eye Hospital","Pali","Bar Bilara Pokaran  Road","45.91"
"Shraddha Hospital and Multispeciality Centre","Pali","Pali-Bar","213.73"
"Shree Mahadev Multispeciality Hospital","Pali","LAMBIYA JASSA KHERA","18.67"
"Shri Ram Hospital","Pali","Pali-Bar","1017.91"
"Shri Siddhi Vinayak Hospital","Pali","Beawar Pali Radhanpur","274.13"
"SMS Eye Hospital","Pali","Bar Bilara Pokaran  Road","18.86"
"Government Hospital, Pahar Ganj","Pithoragarh","Bar Bilara Jodhpur Balotra Barmer","3974.73"
"Aastha Hospital","Pratapgarh","Nimbahera Pratapgarh Banswara Jolod Road","49.79"
"District Hospital Pratapgarh","Pratapgarh","Nimbahera Pratapgarh Banswara Jolod Road","55.12"
"Dr. Nitin Suthar Disha Hospital","Pratapgarh","Nimbahera Pratapgarh Banswara Jolod Road","117.35"
"Government Hospital, Karunda","Pratapgarh","Nimbahera Pratapgarh Banswara Jalod Road","1047.71"
"Government Pashu Hospital","Pratapgarh","Nimbahera Pratapgarh Banswara Jolod Road","152.76"
"Government Savitri Bai Hospital","Pratapgarh","Nimbahera Pratapgarh Banswara Jolod Road","40.46"
"Sky Lifeline Multispeciality Hospital","Pratapgarh","Nimbahera Pratapgarh Banswara Jolod Road","2423.24"
"Udgam Hospital","Pratapgarh","Nimbahera Pratapgarh Banswara Jolod Road","23.94"
"Shyama Bagh Hospital","Pushkar","Ajmer Bikaner road","56.92"
"Bhagwan Mahaveer Hospital","Rajsamand","Ajmer, Bhim Udaipur Ratanpur road","1956.45"
"Bhanawat Dental & Cosmetic Clinic","Rajsamand","Badarda to Distt Border","393.23"
"Care Eye Hospital","Rajsamand","Kankroli Bhilwara Road","681.49"
"City Hospital","Rajsamand","Beawar Ratanpur Road","1538.77"
"Deep Eye Care & Optics","Rajsamand","Beawar Ratanpur Road","2067.79"
"Dr Purohit Hospital","Rajsamand","Badarda to Distt Border","32.14"
"Dr Rekha Sharma Nursing Home","Rajsamand","Badarda to Distt Border","271.95"
"Dr. Chawra Clinic","Rajsamand","Bhinder Keer Ki chowki Fatehnagar Khandel Road","81.94"
"Dr. M. L. Clinic","Rajsamand","Badarda to Distt Border","673.75"
"Dr. Rekha Sharma Hospital","Rajsamand","Badarda to Distt Border","250.24"
"Dr. Yogendra Verma","Rajsamand","Kankroli Bhilwara Road","2298.75"
"Goverdhan Government Hospital Nathdwara","Rajsamand","Badarda to Distt Border","512.93"
"Government Hospital","Rajsamand","NH 8 Km. 89 to NH 8 Km. 175 Lamodi","103.24"
"Government Hospital Tadawada","Rajsamand","Ajmer  Udaipur  Ratanpur Road","79.18"
"Government Hospital, Barar","Rajsamand","NH 8 Km. 89 to NH 8 Km. 175 Lamodi","98.00"
"Government Hospital, Charbhuja","Rajsamand","Mavali Charbhuja Via Nathdwara  Kelwara","1581.10"
"Government Hospital, Kelwa","Rajsamand","Beawar Ratanpur Road","52.71"
"Government Hospital, Khamnore","Rajsamand","NH162E","778.16"
"Government Hospital, Majhera","Rajsamand","Mavali Charbhuja Via Nathdwara  Kelwara","12.17"
"Government Hospital, Railmagra","Rajsamand","Bhinder Keer Ki chowki Fatehnagar Khandel Road","173.46"
"Hari Singh Chouhan","Rajsamand","Ajmer, Bhim Udaipur Ratanpur road","3717.19"
"Jain Hospital","Rajsamand","Kankroli Bhilwara Road","1490.71"
"Kamla Nehru Government Hospital","Rajsamand","Kankroli Bhilwara Road","1139.28"
"Kanchan Nandan Clinic","Rajsamand","Kankroli Bhilwara Road","944.50"
"Kavdia Hospital","Rajsamand","Beawar Ratanpur Road","1338.79"
"Manohar Maternity and Nursing Home","Rajsamand","Kankroli Bhilwara Road","1875.01"
"Nikunj Ortho Hospital","Rajsamand","Kankroli Bhilwara Road","1088.74"
"Osteo Ayush Pain Clinic","Rajsamand","Ajmer, Bhim Udaipur Ratanpur road","3451.06"
"Pagaria Nursing Home","Rajsamand","Kankroli Bhilwara Road","1508.06"
"Pooja Clinic","Rajsamand","Beawar Ratanpur Road","1247.59"
"Radhika Hospital","Rajsamand","Kankroli Bhilwara Road","1126.90"
"Rishabh Physio Care","Rajsamand","Kankroli Bhilwara Road","1051.13"
"Sankalp Physiotherapy Clinic","Rajsamand","NH 8 Km. 89 to NH 8 Km. 175 Lamodi","77.84"
"Sharma Hospital","Rajsamand","Kankroli Bhilwara Road","2135.25"
"Shree Jee Orthopaedic and Trauma Hospital","Rajsamand","Kankroli Bhilwara Road","40.19"
"Shreeji Hospital","Rajsamand","Kankroli Bhilwara Road","180.27"
"Vandana Hospital","Rajsamand","Ajmer, Bhim Udaipur Ratanpur road","3548.68"
"Vision Centre - Alakh Nayan Eye Hospital","Rajsamand","Badarda to Distt Border","324.25"
"Yogesh Clinic","Rajsamand","NH 8 Km. 89 to NH 8 Km. 175 Lamodi","28.23"
"Afaan Clinic","Sawai Madhopur","Tonk Sawai Madhopur","4017.80"
"Apex","Sawai Madhopur","Lalsot Gangapur Karauli Sarmathura Bari Dholpur","1648.85"
"City Dental & Skin Care","Sawai Madhopur","Lalsot Gangapur Karauli Sarmathura Bari Dholpur","1084.56"
"CP Hospital","Sawai Madhopur","Lalsot Gangapur Karauli Sarmathura Bari Dholpur","80.42"
"DR Haricharan Sharma Clinic","Sawai Madhopur","Lalsot Gangapur Karauli Sarmathura Bari Dholpur","1832.83"
"Dr. Akram Khan Clinic","Sawai Madhopur","Tonk Sawai Madhopur","30.39"
"Dr. Ashish Ortho and General Hospital","Sawai Madhopur","Tonk Sawai Madhopur","105.06"
"Dr. C.P. Gupta Nursing Home","Sawai Madhopur","Lalsot Gangapur Karauli Sarmathura Bari Dholpur","1955.68"
"Dr. Farzan Shaikh","Sawai Madhopur","Tonk Sawai Madhopur","800.46"
"Dr. Gopal Gupta Hospital","Sawai Madhopur","Tonk Sawai Madhopur","277.27"
"Dr. K P Meena","Sawai Madhopur","Tonk Sawai Madhopur","1853.85"
"Dr. Mathuria Chest Clinic","Sawai Madhopur","Tonk Sawai Madhopur","285.45"
"Dr. N S chouhan Clinic","Sawai Madhopur","Tonk Sawai Madhopur","304.69"
"Dr. R.S. Gupta","Sawai Madhopur","Tonk Sawai Madhopur","292.08"
"Dr. Ramsingh Surgical Hospital","Sawai Madhopur","Tonk Sawai Madhopur","1368.20"
"Dr. Shubhkam Arya","Sawai Madhopur","Lalsot Gangapur Karauli Sarmathura Bari Dholpur","1692.59"
"Dr. Vikas Meena Clinic","Sawai Madhopur","Tonk Sawai Madhopur","131.00"
"Dr.M.P. Jain Memorial Hospital","Sawai Madhopur","Tonk Sawai Madhopur","140.64"
"Gangauri Hospital","Sawai Madhopur","Tonk Sawai Madhopur","34.67"
"Garg Hospital","Sawai Madhopur","Lalsot Gangapur Karauli Sarmathura Bari Dholpur","914.30"
"Garg Hospital and Research Centre","Sawai Madhopur","Tonk Sawai Madhopur","47.49"
"Government Civil General Hospital, Gangapur City","Sawai Madhopur","Lalsot Gangapur Karauli Sarmathura Bari Dholpur","1842.23"
"Government General Hospital, Sawai Madhopur","Sawai Madhopur","Tonk Sawai Madhopur","70.17"
"Government Hospital, Behrawanda Khurd","Sawai Madhopur","Tonk Swm Shivpuri Road upto Palighat 82/700 to 112/0","46.62"
"Goyal Eye Hospital","Sawai Madhopur","Lalsot Gangapur Karauli Sarmathura Bari Dholpur","1608.70"
